epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1303.19,0.13333,0.41572,0.93095,0.99765,1,0.995,0.995,0.17903,0.47025,0.29041,0.000412749,0.000412749,0.000412749
78,1320.75,0.11551,0.48321,0.90187,0.9975,1,0.995,0.995,0.16137,0.48593,0.26746,0.000396246,0.000396246,0.000396246
79,1338.41,0.09578,0.34591,0.91363,0.99744,1,0.995,0.995,0.15125,0.48644,0.25163,0.000379743,0.000379743,0.000379743
80,1356.58,0.10259,0.33054,0.91485,0.99722,1,0.995,0.995,0.14566,0.49157,0.23494,0.000363239,0.000363239,0.000363239
81,1374.14,0.1118,0.39947,0.93943,0.99711,1,0.995,0.995,0.1479,0.49819,0.23496,0.000346736,0.000346736,0.000346736
82,1391.81,0.09924,0.36908,0.8947,0.99531,1,0.995,0.99284,0.1523,0.50776,0.24072,0.000330233,0.000330233,0.000330233
83,1409.61,0.09602,0.33076,0.89912,0.99724,1,0.995,0.995,0.15017,0.49033,0.2381,0.000313729,0.000313729,0.000313729
84,1427.95,0.10321,0.45142,0.91282,0.99794,1,0.995,0.995,0.15235,0.48227,0.23925,0.000297226,0.000297226,0.000297226
85,1445.89,0.15022,0.33145,0.99923,0.99793,1,0.995,0.995,0.16141,0.49148,0.24722,0.000280723,0.000280723,0.000280723
86,1464.19,0.10134,0.37681,0.91937,0.99792,1,0.995,0.995,0.17003,0.49972,0.25011,0.00026422,0.00026422,0.00026422
87,1482.86,0.09542,0.34363,0.89721,0.99797,1,0.995,0.995,0.17744,0.51006,0.25621,0.000247716,0.000247716,0.000247716
88,1502.11,0.10179,0.37293,0.90169,0.99801,1,0.995,0.995,0.18633,0.52785,0.26621,0.000231213,0.000231213,0.000231213
89,1521.34,0.10177,0.34868,0.92866,0.99801,1,0.995,0.995,0.18758,0.53288,0.26806,0.00021471,0.00021471,0.00021471
90,1539.7,0.09069,0.3308,0.93121,0.99801,1,0.995,0.995,0.19166,0.53707,0.26808,0.000198206,0.000198206,0.000198206
